"UF","nome","PIB","Pop_est_2009","PIB_percapita","v0002_codigo_do_municipio","educação sem instrução","pobreza","renda"
"BAHIA","Tremedal",57883.9921875,18433,3140.23999023,2931806,83.77638745516785,66.07254469908976,917.3563387454968
"RIO GRANDE DO SUL","Turuçu",45723.875,4000,11430.96972656,4322327,79.65246808919574,35.42935304213689,2004.594859483776
"ESPIRITO SANTO","Vitória",19782628,320156,61790.58984375,3205309,36.059089848306776,14.992136389530195,5698.226715642712
"MINAS GERAIS","Jacutinga",247816,21424,11567.20996094,3134905,63.13425096672296,17.49820263798237,2375.281227892777
"PIAUÍ","Nazária",20951.38085938,7895,2653.75,2206720,77.36220637460885,71.07669082278731,906.9048619206433
"MINAS GERAIS","Pedra Azul",187523.671875,26000,7212.45019531,3148707,73.20715180759827,64.23522530531804,1181.4254229866435
"PIAUÍ","Teresina",8700461,802537,10841.20019531,2211001,50.54871248275639,38.95596439078375,2905.871850755959
"PIAUÍ","Amarante",65322.88671875,17892,3650.94995117,2200509,74.04040547462488,62.05505202300324,1038.1022789085134
"GOIÁS","Matrinchã",45910.546875,4420,10387,5212956,68.83834868437704,35.052683681320666,1382.1802632316253
"PERNAMBUCO","Cachoeirinha",80433.8046875,18123,4438.22021484,1703826,69.54372915250542,66.04062415085302,1012.2207877912629
"PARÁ","Afuá",100038.40625,32633,3065.56005859,1500305,88.22968533383097,83.54907495757499,851.8314927032018
"PERNAMBUCO","Fernando de Noronha",26980.71484375,3108,8681.04980469,2605459,39.85968154557661,5.7093357808133565,4134.4012290759065
"RIO GRANDE DO SUL","Frederico Westphalen",490769.53125,28428,17263.59960938,4308508,55.20859092596224,17.954322255061992,2753.942307526374
"SERGIPE","Amparo de São Francisco",12769.73339844,2268,5630.39013672,2800100,69.57359580562617,68.49287102783829,942.0009127690324
"SÃO PAULO","Itapeva",1120700,89768,12484.40039062,3133600,63.72769070851443,32.39964895761436,1914.6156947742147
"PARAÍBA","Bayeux",604882.125,96198,6287.89013672,2501807,65.6847318060793,51.33651218655943,1444.525106615038
"TOCANTINS","Ananás",59541.40625,9514,6258.29003906,1701002,68.15502209025246,52.48539362982642,1498.2774069302209
"MINAS GERAIS","Santo Antônio do Retiro",25568.890625,7087,3607.86010742,3160454,78.67782525066927,79.95810874938452,663.6236700709977
"PARAÍBA","Serra Branca",62123.3359375,12816,4847.33007812,2515500,71.99691219642412,57.15347776923292,1098.2947184017455
"AMAZONAS","Envira",69843.03125,17614,3965.19995117,1301506,83.91369300853377,80.20261971942205,995.3309609812343
"TOCANTINS","Oliveira de Fátima",11591.94921875,1129,10267.45019531,1715507,62.41526353419516,55.08913446553615,1199.0995138188487
"SÃO PAULO","Elisiário",52295.234375,3317,15765.8203125,3514924,57.614846713333634,6.901818298566884,2287.311604309149
"SANTA CATARINA","Otacílio Costa",364577.8125,16587,21979.73046875,4211751,58.29921587349696,18.58543356889097,2308.8980450518648
"MINAS GERAIS","Sericita",39047.0703125,7345,5316.14013672,3166303,82.96377940193203,51.55273229480982,1211.4375590205354
"MINAS GERAIS","Diamantina",287632.03125,46372,6202.70996094,3121605,60.058860375120815,42.52323325180478,2131.82745664336
"BAHIA","Maetinga",23558.44726562,7884,2988.12988281,2919959,83.30281241357791,63.266218755307506,1008.1045926167641
"CEARÁ","Iracema",62552.0234375,15114,4138.68017578,2306009,66.90558063791964,61.93943575725635,1230.320930540111
"RORAIMA","São João da Baliza",59372.453125,6028,9849.45019531,1400506,67.56029389103762,57.407846859712805,1500.1359799409586
"RIO GRANDE DO SUL","Paulo Bento",37882.76953125,2149,17628.08984375,4314134,71.439918135415,10.04965608396985,2669.951364600162
"PERNAMBUCO","Alagoinha",57886.21484375,14913,3881.59008789,2500502,78.45006233398712,68.07686831901387,1123.501354293206
"PIAUÍ","Inhuma",62012.0234375,15490,4003.36010742,2204709,72.7358268734876,67.74550483842906,983.6621151010615
"MARANHÃO","Joselândia",60842.48046875,16188,3758.48999023,2105609,81.56010660297149,74.4069356097128,904.4765361581273
"RIO DE JANEIRO","Itaguaí",3008327.25,105633,28479.05078125,3302007,56.60016979086922,32.274378440936744,2106.5138582580616
"MINAS GERAIS","Cedro do Abaeté",10221.85644531,1221,8371.70996094,3115607,69.72492451176073,37.46519506744274,1265.8217053711792
"RIO GRANDE DO SUL","Cacequi",174171.703125,13578,12827.49023438,4302907,60.51081700290135,39.45853275634868,1805.577666935485
"PERNAMBUCO","Barra de Guabiraba",46595.87109375,13623,3420.37988281,2601300,77.07184142038261,70.05285942753868,994.0467326542134
"BAHIA","Ibirapuã",74997.40625,7893,9501.75976562,2912806,76.76908997819456,47.78940039339236,1469.0002539310144
"PARAÍBA","Bernardino Batista",11964.66210938,3315,3609.25,2502052,80.22795815717,71.60731725799937,793.2795940804144
"PARAÍBA","Lagoa",19203.7109375,4949,3880.32006836,2508109,78.9666539998742,70.80350810050594,820.9731638608338
"MATO GROSSO","Novo Horizonte do Norte",32778.5078125,3970,8256.54980469,5106273,71.07512986800451,37.422951738464796,1628.768434586707
"MINAS GERAIS","Nova Lima",2120726.75,76608,27682.83984375,3144805,47.44219663270448,15.249406208268649,5889.961890883215
"PARÁ","Tomé-Açu",226379.46875,48607,4657.33984375,1508001,78.3890442595292,64.35517817473772,1436.0175946541135
"BAHIA","Governador Mangabeira",92903.8203125,20668,4495.06005859,2911600,65.35915950539442,62.49704071677306,1248.9837827779168
"PIAUÍ","Aroeiras do Itaim",8614.79785156,2759,3122.42993164,2200954,83.9821754046433,77.84271766992347,716.1158231817906
"GOIÁS","Perolândia",145665.390625,2830,51471.87109375,5216452,68.61355146161321,36.40786218920865,1997.2255684714717
"PARAÍBA","Pocinhos",68767.046875,16538,4158.12011719,2512002,78.18227581432409,65.30609769439255,938.4625744733934
"BAHIA","Ibititá",62366.88671875,19410,3213.12988281,2913101,73.56937073192753,67.81299575193654,900.7877221168512
"TOCANTINS","Aliança do Tocantins",44565.703125,5822,7654.70996094,1700350,65.14286417351714,55.94121332414895,1263.9872438423374
"MINAS GERAIS","Igarapé",277495.78125,33773,8216.5,3130101,65.25658280931427,30.770587799289956,2041.3462866650143
"TOCANTINS","Lagoa da Confusão",263527.4375,8711,30252.25976562,1711902,71.0424324133829,51.14720862478631,1620.9201750825657
"PARAÍBA","Puxinanã",59902.4921875,13354,4485.72998047,2512408,72.58377989839406,61.372399421406385,1065.0516933848255
"SÃO PAULO","Guarujá",3429098.5,308058,11131.33984375,3518701,54.484873955516804,25.624931104286908,2599.5188557909873
"RIO GRANDE DO SUL","Engenho Velho",24098.88671875,1467,16427.33007812,4306924,66.28905280481119,30.747457813392764,2811.342121964677
"PARANÁ","Rio Bom",29087.8984375,3292,8835.9296875,4122107,61.250533370911285,33.9582580547085,1648.0644122815345
"BAHIA","Sátiro Dias",75908.4609375,18919,4012.29003906,2929701,83.92612469765062,75.59372300717986,802.9942306528711
"SANTA CATARINA","José Boiteux",50867.8984375,5054,10064.87988281,4209151,69.66376726721501,28.889313771869652,2218.368503506365
"PARÁ","Cachoeira do Arari",62800.12890625,20411,3076.7800293,1502004,80.26472129408828,74.92969274662234,942.0068326365728
"BAHIA","Irajuba",29224.98828125,7666,3812.29003906,2914208,79.4807902448117,71.36322261882634,792.4247012324838
"PERNAMBUCO","Palmares",387086.59375,58819,6580.97998047,2610004,68.31902395705606,63.158796954504226,1236.2412559836305
"SERGIPE","Brejo Grande",39924.37890625,8086,4937.47021484,2800704,80.93353429773161,80.76657692278168,828.6784150914688
"PARANÁ","Altamira do Paraná",37563.4296875,3799,9887.71972656,4100459,71.25733898171507,48.412178840233366,1701.3215703345154
"MATO GROSSO","Nova Santa Helena",49004,3473,14109.99023438,5106190,69.11714706476985,34.1957067658774,3146.5665107650884
"PARAÍBA","São Sebastião do Umbuzeiro",15186.453125,3170,4790.68017578,2515203,77.98273754160438,63.51116939643666,849.9297280555245
"MATO GROSSO","Nova Guarita",45700.81640625,4907,9313.38964844,5108808,69.41856245103737,40.11154043667643,1771.297340047327
